Label,Year,Team,Conference,Wins,Losses,Seed,Outcome
Tennessee Tech2003,2003,Tennessee Tech,OVC,17,12,17.0,None
Loyola Chicago2003,2003,Loyola Chicago,Horz,15,16,17.0,None
Boston University2003,2003,Boston University,AE,20,11,17.0,None
Middle Tennessee St.2003,2003,Middle Tennessee St.,SB,14,14,17.0,None
Chattanooga2003,2003,Chattanooga,SC,19,9,17.0,None
Oregon St.2003,2003,Oregon St.,P10,12,15,17.0,None
UCF2003,2003,UCF,ASun,20,11,17.0,None
Washington2003,2003,Washington,P10,10,17,17.0,None
Wichita St.2003,2003,Wichita St.,MVC,18,12,17.0,None
Toledo2003,2003,Toledo,MAC,13,16,17.0,None
Princeton2003,2003,Princeton,Ivy,15,11,17.0,None
Arkansas2003,2003,Arkansas,SEC,9,19,17.0,None
Austin Peay2003,2003,Austin Peay,OVC,20,8,13.0,R64
Denver2003,2003,Denver,SB,17,15,17.0,None
Northern Illinois2003,2003,Northern Illinois,MAC,17,14,17.0,None
Nebraska2003,2003,Nebraska,B12,11,18,17.0,None
Miami OH2003,2003,Miami OH,MAC,12,15,17.0,None
SMU2003,2003,SMU,WAC,17,13,17.0,None
Virginia Tech2003,2003,Virginia Tech,BE,11,18,17.0,None
Saint Mary's2003,2003,Saint Mary's,WCC,14,15,17.0,None
Davidson2003,2003,Davidson,SC,14,10,17.0,None
Stephen F. Austin2003,2003,Stephen F. Austin,Slnd,19,8,17.0,None
Bradley2003,2003,Bradley,MVC,12,18,17.0,None
American2003,2003,American,Pat,16,14,17.0,None
East Tennessee St.2003,2003,East Tennessee St.,SC,17,11,15.0,R64
Pepperdine2003,2003,Pepperdine,WCC,15,13,17.0,None
Arkansas Little Rock2003,2003,Arkansas Little Rock,SB,16,12,17.0,None
Vermont2003,2003,Vermont,AE,19,11,16.0,R64
Morehead St.2003,2003,Morehead St.,OVC,17,9,17.0,None
Air Force2003,2003,Air Force,MWC,12,16,17.0,None
Oral Roberts2003,2003,Oral Roberts,MCon,17,10,17.0,None
Fairfield2003,2003,Fairfield,MAAC,19,12,17.0,None
Yale2003,2003,Yale,Ivy,13,13,17.0,None
South Alabama2003,2003,South Alabama,SB,12,14,17.0,None
Sam Houston St.2003,2003,Sam Houston St.,Slnd,21,7,15.0,R64
Brown2003,2003,Brown,Ivy,17,12,17.0,None
Iona2003,2003,Iona,MAAC,17,12,17.0,None
Arkansas St.2003,2003,Arkansas St.,SB,11,15,17.0,None
IUPUI2003,2003,IUPUI,MCon,19,14,16.0,R64
Old Dominion2003,2003,Old Dominion,CAA,12,15,17.0,None
La Salle2003,2003,La Salle,A10,12,17,17.0,None
East Carolina2003,2003,East Carolina,CUSA,10,15,17.0,None
Belmont2003,2003,Belmont,ASun,17,12,17.0,None
Southern Miss2003,2003,Southern Miss,CUSA,13,16,17.0,None
Northwestern2003,2003,Northwestern,B10,12,17,17.0,None
Ohio2003,2003,Ohio,MAC,14,16,17.0,None
Ball St.2003,2003,Ball St.,MAC,13,17,17.0,None
TCU2003,2003,TCU,CUSA,9,19,17.0,None
Delaware2003,2003,Delaware,CAA,15,14,17.0,None
New Orleans2003,2003,New Orleans,SB,13,14,17.0,None
Appalachian St.2003,2003,Appalachian St.,SC,16,10,17.0,None
Marshall2003,2003,Marshall,MAC,13,15,17.0,None
Mercer2003,2003,Mercer,ASun,22,6,17.0,None
Pacific2003,2003,Pacific,BW,12,16,17.0,None
Niagara2003,2003,Niagara,MAAC,17,12,17.0,None
Akron2003,2003,Akron,MAC,14,14,17.0,None
Wagner2003,2003,Wagner,NEC,21,11,15.0,R64
Eastern Illinois2003,2003,Eastern Illinois,OVC,13,15,17.0,None
Cal Poly2003,2003,Cal Poly,BW,15,14,17.0,None
Evansville2003,2003,Evansville,MVC,12,16,17.0,None
Boise St.2003,2003,Boise St.,WAC,12,16,17.0,None
Bowling Green2003,2003,Bowling Green,MAC,11,16,17.0,None
Oakland2003,2003,Oakland,MCon,15,11,17.0,None
Idaho St.2003,2003,Idaho St.,BSky,13,14,17.0,None
New Mexico2003,2003,New Mexico,MWC,9,18,17.0,None
Louisiana Tech2003,2003,Louisiana Tech,WAC,10,15,17.0,None
Cal St. Northridge2003,2003,Cal St. Northridge,BW,13,15,17.0,None
Northern Arizona2003,2003,Northern Arizona,BSky,13,13,17.0,None
Jacksonville St.2003,2003,Jacksonville St.,ASun,19,10,17.0,None
UT Arlington2003,2003,UT Arlington,Slnd,14,13,17.0,None
Montana2003,2003,Montana,BSky,12,16,17.0,None
Northern Iowa2003,2003,Northern Iowa,MVC,10,17,17.0,None
Massachusetts2003,2003,Massachusetts,A10,10,18,17.0,None
Southwest Texas St.2003,2003,Southwest Texas St.,Slnd,15,12,17.0,None
Maine2003,2003,Maine,AE,12,16,17.0,None
Binghamton2003,2003,Binghamton,AE,14,13,17.0,None
Hartford2003,2003,Hartford,AE,15,13,17.0,None
Wofford2003,2003,Wofford,SC,10,15,17.0,None
Green Bay2003,2003,Green Bay,Horz,9,19,17.0,None
Canisius2003,2003,Canisius,MAAC,10,18,17.0,None
Eastern Michigan2003,2003,Eastern Michigan,MAC,12,14,17.0,None
Loyola Marymount2003,2003,Loyola Marymount,WCC,11,19,17.0,None
Samford2003,2003,Samford,ASun,12,15,17.0,None
Duquesne2003,2003,Duquesne,A10,9,21,17.0,None
Portland2003,2003,Portland,WCC,10,17,17.0,None
Washington St.2003,2003,Washington St.,P10,7,20,17.0,None
Penn St.2003,2003,Penn St.,B10,7,21,17.0,None
Idaho2003,2003,Idaho,BW,12,15,17.0,None
McNeese St.2003,2003,McNeese St.,Slnd,13,14,17.0,None
Houston2003,2003,Houston,CUSA,8,20,17.0,None
Marist2003,2003,Marist,MAAC,13,16,17.0,None
Northeastern2003,2003,Northeastern,AE,14,15,17.0,None
Illinois St.2003,2003,Illinois St.,MVC,8,21,17.0,None
Wright St.2003,2003,Wright St.,Horz,9,18,17.0,None
James Madison2003,2003,James Madison,CAA,12,17,17.0,None
Harvard2003,2003,Harvard,Ivy,12,15,17.0,None
Montana St.2003,2003,Montana St.,BSky,9,16,17.0,None
Bucknell2003,2003,Bucknell,Pat,14,15,17.0,None
Rider2003,2003,Rider,MAAC,12,16,17.0,None
Winthrop2003,2003,Winthrop,BSth,18,10,17.0,None
Lehigh2003,2003,Lehigh,Pat,14,12,17.0,None
Georgia St.2003,2003,Georgia St.,ASun,13,15,17.0,None
Drake2003,2003,Drake,MVC,8,20,17.0,None
Santa Clara2003,2003,Santa Clara,WCC,12,15,17.0,None
FIU2003,2003,FIU,SB,7,21,17.0,None
Birmingham Southern2003,2003,Birmingham Southern,BSth,17,9,17.0,None
Quinnipiac2003,2003,Quinnipiac,NEC,16,12,17.0,None
Tennessee Martin2003,2003,Tennessee Martin,OVC,10,14,17.0,None
Georgia Southern2003,2003,Georgia Southern,SC,13,13,17.0,None
North Texas2003,2003,North Texas,SB,5,21,17.0,None
Furman2003,2003,Furman,SC,11,17,17.0,None
Cal St. Fullerton2003,2003,Cal St. Fullerton,BW,10,19,17.0,None
Colgate2003,2003,Colgate,Pat,12,14,17.0,None
