,Team,Conf.,Record,#1 Match,#2 Match,#3 Match,Avg. Seed,Most Likely Seed,Made Tourney
89,Colorado St.,MWC,9-2,Grand Canyon2018,San Francisco2017,DePaul2018,13.09,13,0.1563709383792668
90,TCU,B12,9-5,San Diego2019,Louisiana Tech2015,St. John's2003,13.01,14,0.07930522186937693
91,Nebraska,B10,4-8,South Florida2002,Arizona St.2002,Massachusetts2012,13.24,14,0.15107874126875936
92,Pacific,WCC,4-1,Stanford2006,Southwest Missouri St.2004,Bucknell2011,13.47,14,0.18354624140453704
93,UCF,Amer,3-4,Iowa2011,Saint Louis2019,Virginia Tech2005,12.86,13,0.15245237661967323
94,Miami FL,ACC,5-6,Memphis2011,Cal St. Bakersfield2016,George Mason2004,12.1,12,0.1022070455139735
95,Boston College,ACC,3-9,UT Arlington2017,Iowa St.2004,Ohio2017,13.43,13,0.18701343391181824
96,Bradley,MVC,7-4,Nebraska2006,Nebraska2005,Georgia2008,13.56,14,0.2763877157090545
97,Cincinnati,Amer,3-7,Penn St.2017,DePaul2018,San Diego2003,13.89,13,0.13619602128212605
98,Liberty,ASun,11-5,UTEP2014,Rutgers2013,Ohio2008,13.47,14,0.1286838180138969
99,Massachusetts,A10,4-3,Iona2016,Texas Tech2009,BYU2006,13.17,13,0.2984808244001823
100,Ohio,MAC,7-5,Oregon2004,Western Kentucky2006,New Mexico St.2017,14.0,14,0.15613759969827584
101,Georgetown,BE,3-8,Penn2018,Stanford2017,South Carolina2010,13.65,13,0.123080744667622
102,Georgia St.,SB,7-2,Vanderbilt2002,Washington2018,Mississippi St.2017,13.78,16,0.14518622925924196
103,South Florida,Amer,7-5,USC2013,South Carolina2003,Western Michigan2003,13.19,13,0.15172927610715456
104,Georgia,SEC,7-4,East Tennessee St.2002,UAB2003,USC2003,13.27,14,0.14851577408145672
105,Western Kentucky,CUSA,10-4,Northwestern St.2006,Drexel2004,Iowa2003,14.04,14,0.13826518144248967
106,Winthrop,BSth,13-0,East Tennessee St.2002,Duquesne2008,USC2003,13.09,15,0.16790197621454211
107,Belmont,OVC,13-1,Northeastern2005,Arkansas2010,Saint Joseph's2018,14.02,14,0.16289986250200283
108,Buffalo,MAC,5-4,UNLV2016,Monmouth2017,UT Arlington2016,13.75,14,0.11029353683577725
109,Abilene Christian,Slnd,10-2,George Washington2013,Florida St.2003,Fresno St.2007,12.25,13,0.0568781520198608
110,Vermont,AE,5-3,Akron2010,Lamar2012,Fairfield2010,14.24,16,0.1039513972474042
111,Nevada,MWC,9-5,Penn2018,Old Dominion2004,VCU2003,15.45,16,0.13386904577288541
112,Louisiana Tech,CUSA,10-4,Fresno St.2007,UAB2002,Rutgers2003,11.51,9,0.04396807647500971
113,Loyola Marymount,WCC,6-3,George Washington2010,South Florida2019,Cal St. Northridge2005,13.77,15,0.051025734073556026
114,South Dakota St.,Sum,8-3,Niagara2004,Central Michigan2019,Long Beach St.2007,13.53,14,0.22718351400703102
115,UC Riverside,BW,5-3,New Mexico St.2016,California2015,Utah2010,13.8,14,0.12063073562928861
116,Wake Forest,ACC,3-4,UNC Asheville2017,Georgia2019,Niagara2010,14.62,14,0.05463904654082852
117,Washington St.,P12,9-3,Cal St. Bakersfield2017,Sam Houston St.2008,St. John's2013,14.41,15,0.0706723303911024
118,Iowa St.,B12,2-7,Georgia St.2017,Western Kentucky2019,Tulsa2019,14.71,14,0.08698405921816545
119,Duquesne,A10,3-5,Miami FL2003,George Mason2012,Colorado St.2010,13.7,13,0.07705336123879634
120,Colgate,Pat,3-1,Wyoming2009,Texas Tech2011,San Diego2002,14.72,14,0.05983887212839565
121,Bowling Green,MAC,10-3,San Diego2006,UCLA2003,Colorado2005,14.53,14,0.06179063740500863
122,Butler,BE,3-7,Long Beach St.2015,Boston University2003,Saint Mary's2007,14.69,15,0.08512523447785258
